If you want to achieve greatness stop asking for permission.,--Anonymous,,
Things work out best for those who make the best of how things work out.,--John,Wooden,
"To live a creative life, we must lose our fear of being wrong.",--Anonymous,,
If you are not willing to risk the usual you will have to settle for the ordinary.,--Jim,Rohn,
"Trust because you are willing to accept the risk, not because it's safe or certain.",--Anonymous,,
"Take up one idea. Make that one idea your life--think of it, dream of it, live on that idea. Let the brain, muscles, nerves, every part of your body, be full of that idea, and just leave every other idea alone. This is the way to success.",--Swami,Vivekananda,
All our dreams can come true if we have the courage to pursue them.,--Walt,Disney,
"Good things come to people who wait, but better things come to those who go out and get them.",--Anonymous,,
"If you do what you always did, you will get what you always got.",--Anonymous,,
Success is walking from failure to failure with no loss of enthusiasm.,--Winston,Churchill,
"Just when the caterpillar thought the world was ending, he turned into a butterfly.",--Proverb,,
Successful entrepreneurs are givers and not takers of positive energy.,--Anonymous,,
"Whenever you see a successful person you only see the public glories, never the private sacrifices to reach them.",--Vaibhav,Shah,
"Opportunities don't happen, you create them.",--Chris,Grosser,
"Try not to become a person of success, but rather try to become a person of value.",--Albert,Einstein,
Great minds discuss ideas; average minds discuss events; small minds discuss people.,--Eleanor,Roosevelt,
"I have not failed. I've just found 10,000 ways that won't work.",--Thomas,A.,Edison
"If you don't value your time, neither will others. Stop giving away your time and talents--start charging for it.",--Kim,Garst,
A successful man is one who can lay a firm foundation with the bricks others have thrown at him.,--David,Brinkley,
No one can make you feel inferior without your consent.,--Eleanor,Roosevelt,
"The whole secret of a successful life is to find out what is one's destiny to do, and then do it.",--Henry,Ford,
If you're going through hell keep going.,--Winston,Churchill,
"The ones who are crazy enough to think they can change the world, are the ones who do.",--Anonymous,,
"Don't raise your voice, improve your argument.",--Anonymous,,
What seems to us as bitter trials are often blessings in disguise.,--Oscar,Wilde,
The meaning of life is to find your gift. The purpose of life is to give it away.,--Anonymous,,
The distance between insanity and genius is measured only by success.,--Bruce,Feirstein,
"When you stop chasing the wrong things, you give the right things a chance to catch you.",--Lolly,Daskal,
I believe that the only courage anybody ever needs is the courage to follow your own dreams.,--Oprah,Winfrey,
No masterpiece was ever created by a lazy artist.,--Anonymous,,
"Happiness is a butterfly, which when pursued, is always beyond your grasp, but which, if you will sit down quietly, may alight upon you.",--Nathaniel,Hawthorne,
"If you can't explain it simply, you don't understand it well enough.",--Albert,Einstein,
Blessed are those who can give without remembering and take without forgetting.,--Anonymous,,
Do one thing every day that scares you.,--Anonymous,,
What's the point of being alive if you don't at least try to do something remarkable.,--Anonymous,,
Life is not about finding yourself. Life is about creating yourself.,--Lolly,Daskal,
Nothing in the world is more common than unsuccessful people with talent.,--Anonymous,,
Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.,--Anonymous,,
Your problem isn't the problem. Your reaction is the problem.,--Anonymous,,
There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed.,--Ray,Goforth,
"Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.",--A.P.J.,Abdul,Kalam
"I find that the harder I work, the more luck I seem to have.",--Thomas,Jefferson,
The starting point of all achievement is desire.,--Napoleon,Hill,
"Success is the sum of small efforts, repeated day-in and day-out.",--Robert,Collier,
"If you want to achieve excellence, you can get there today. As of this second, quit doing less-than-excellent work.",--Thomas,J.,Watson
All progress takes place outside the comfort zone.,--Michael,John,Bobak
You may only succeed if you desire succeeding; you may only fail if you do not mind failing.,--Philippos,,
"Courage is resistance to fear, mastery of fear--not absence of fear.",--Mark,Twain,
Only put off until tomorrow what you are willing to die having left undone.,--Pablo,Picasso,
"People often say that motivation doesn't last. Well, neither does bathing--that's why we recommend it daily.",--Zig,Ziglar,
"We become what we think about most of the time, and that's the strangest secret.",--Earl,Nightingale,
The only place where success comes before work is in the dictionary.,--Vidal,Sassoon,
Too many of us are not living our dreams because we are living our fears. ,--Les,Brown,
"I find that when you have a real interest in life and a curious life, that sleep is not the most important thing.",--Martha,Stewart,
"It's not what you look at that matters, it's what you see.",--Anonymous,,
The road to success and the road to failure are almost exactly the same.,--Colin,R.,Davis
"The function of leadership is to produce more leaders, not more followers.",--Ralph,Nader,
"Success is liking yourself, liking what you do, and liking how you do it.",--Maya,Angelou,
"As we look ahead into the next century, leaders will be those who empower others.",--Bill,Gates,
A real entrepreneur is somebody who has no safety net underneath them.,--Henry,Kravis,
The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.,--Mark,Caine,
"People who succeed have momentum. The more they succeed, the more they want to succeed, and the more they find a way to succeed. Similarly, when someone is failing, the tendency is to get on a downward spiral that can even become a self-fulfilling prophecy.",--Tony,Robbins,
"When I dare to be powerful, to use my strength in the service of my vision, then it becomes less and less important whether I am afraid.",--Audre,Lorde,
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",--Mark,Twain,
"The successful warrior is the average man, with laser-like focus.",--Bruce,Lee,
There is no traffic jam along the extra mile.,--Roger,Staubach,
Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.,--Dale,Carnegie,
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",--Jim,Rohn,
"If you genuinely want something, don't wait for it--teach yourself to be impatient.",--Gurbaksh,Chahal,
Don't let the fear of losing be greater than the excitement of winning.,--Robert,Kiyosaki,
"If you want to make a permanent change, stop focusing on the size of your problems and start focusing on the size of you!",--T.,Harv,Eker
"You can't connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something--your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.",--Steve,Jobs,
"Two roads diverged in a wood and I  took the one less traveled by, and that made all the difference.",--Robert,Frost,
"The number one reason people fail in life is because they listen to their friends, family, and neighbors.",--Napoleon,Hill,
"The reason most people never reach their goals is that they don't define them, or ever seriously consider them as believable or achievable. Winners can tell you where they are going, what they plan to do along the way, and who will be sharing the adventure with them.",--Denis,Waitley,
"In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it.",--Jane,Smiley,
Success does not consist in never making mistakes but in never making the same one a second time.,--George,Bernard,Shaw
I don't want to get to the end of my life and find that I lived just the length of it. I want to have lived the width of it as well.,--Diane,Ackerman,
You must expect great things of yourself before you can do them.,--Michael,Jordan,
Motivation is what gets you started. Habit is what keeps you going.,--Jim,Ryun,
People rarely succeed unless they have fun in what they are doing.,--Dale,Carnegie,
"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",--Ella,Wheeler,Wilcox
Our greatest fear should not be of failure but of succeeding at things in life that don't really matter.,--Francis,Chan,
You've got to get up every morning with determination if you're going to go to bed with satisfaction.,--George,Lorimer,
A goal is not always meant to be reached; it often serves simply as something to aim at.,--,Bruce,Lee
"Success is ... knowing your purpose in life, growing to reach your maximum potential, and sowing seeds that benefit others.",--John,C.,Maxwell
"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",--Wayne,Dyer,
"To accomplish great things, we must not only act, but also dream, not only plan, but also believe.",--Anatole,France,
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no help at all.,--Dale,Carnegie,
You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals.,--Booker,T.,Washington
Real difficulties can be overcome; it is only the imaginary ones that are unconquerable.,--Theodore,N.,Vail
It is better to fail in originality than to succeed in imitation.,--Herman,Melville,
What would you do if you weren't afraid.,--Spencer,Johnson,
Little minds are tamed and subdued by misfortune; but great minds rise above it.,--Washington,Irving,
Failure is the condiment that gives success its flavor.,--Truman,Capote,
Don't let what you cannot do interfere with what you can do.,--John,R.,Wooden
You may have to fight a battle more than once to win it.,--Margaret,Thatcher,
"A man can be as great as he wants to be. If you believe in yourself and have the courage, the determination, the dedication, the competitive drive and if you are willing to sacrifice the little things in life and pay the price for the things that are worthwhile, it can be done.",--Vince,Lombardi,
We are what we think. - Buddha,,,
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment. - Buddha",,,
Strong lives are motivated by dynamic purposes. - Kenneth Hildebrand,,,
"When you are inspired by some great purpose, some extraordinary project, all your thoughts break their bonds: Your mind transcends limitations, your consciousness expands in every direction, and you find yourself in a new, great, and wonderful world. Dormant forces, faculties and talents become alive, and you discover yourself to be a greater person by far than you ever dreamed yourself to be. - Patanjali – the author of Yoga Sutra",,,
Nothing contributes so much to tranquilize the mind as a steady purpose--a point on which the soul may fix its intellectual eye. - Mary Shelley,,,
"In every one of us there are two ruling and directing principles, whose guidance we follow wherever they may lead; the one being an innate desire of pleasure; the other, an acquired judgment which aspires after excellence. - Socrates",,,
Every big problem was at one time a wee disturbance. - Unknown,,,
I know for sure that what we dwell on is who we become. - Oprah Winfrey,,,
Dance as though no one is watching you. Love as though you have never been hurt before. Sing as though no one can hear you. Live as though heaven is on earth. - Souza,,,
You can get everything in life you want if you will just help enough other people get what they want. - Zig Ziglar,,,
Men's best successes come after their disappointments. - Henry Ward Beecher,,,
Great spirits have always encountered violent opposition from mediocre minds. - Albert Einstein,,,
"You see things; and you say, ""Why?"" But I dream things that never were; and I say, Why not? - George Bernard Shaw",,,
Our greatest glory is not in never falling but in rising every time we fall. - Confucius,,,
Do more than is required. What is the distance between someone who achieves their goals consistently and those who spend their lives and careers merely following? The extra mile. - Gary Ryan Blair,,,
"Motivation is a fire from within. If someone else tries to light that fire under you, chances are it will burn very briefly. - Stephen R. Covey",,,
"We are what we repeatedly do. Excellence, therefore, is not an act but a habit. - Aristotle",,,
Whenever you are confronted with an opponent. Conquer him with love. - Mahatma Gandhi,,,
Nobody can hurt me without my permission. - Mahatma Gandhi,,,
Worry is the interest paid by those who borrow trouble. - George Washington,,,
All great achievements require time.,,,— Maya Angelou
 Change will not come if we wait for some other person or some other time  We are the ones we've been waiting for  We are the change that we seek  - Obama,,,
" If we aren't willing to pay a price for our values, then we should ask ourselves whether we truly believe in them at all", - Obama,,
 Logic will get you from A to B, Imagination will take you everywhere, - Albert Einstein,
" When we are motivated by goals that have deep meaning, by dreams that need completion, by pure love that needs expressing, then we truly live", - Greg Anderson,,
" Whether it's Google or Apple or free software, we've got some fantastic competitors and it keeps us on our toes", - Bill Gates,,
 A man wrapped up in himself makes a very small bundle, - Benjamin Franklin,,
 This world is but a canvas to our imaginations, - Henry David Thoreau,,
 All of our dreams can come true if we have the courage to pursue them, - Walt Disney,,
 Be miserable, Or motivate yourself," Whatever has to be done, it’s always your choice", - Wayne Dyer
 Motivation is what gets you started, Habit is what keeps you going, - Jim Ryun,
 This paper will no doubt be found interesting by those who take an interest in it - John Dalton,,,
" I do the very best I know how, the very best I can, and I mean to keep on doing so until the end", - Abraham Lincoln,,
" When I do good, I feel good; when I do bad, I feel bad", That’s my religion, – Abraham Lincoln,
 Being number two sucks, - Andre Agassi,,
 The whole idea is to get an edge," Sometimes it takes just a little extra something to get that edge, but you have to have it", - Don Shula,
 Under pressure you can perform fifteen percent better or worse, - Scott Hamilton,,
 Ninety percent of the game is half mental, - Yogi Berra,,
 Effective leadership is putting first things first," Effective management is discipline, carrying it out", - Stephen Covey,
 Be the dream, - John Chaney,,
 | Source,,,
" Many of the things you can count, don't count"," Many of the things you can't count, really count", - Albert Einstein,
" Life has no limitations, except the ones you make", - Les Brown,,
" Whatever the mind of man can conceive and believe, it can achieve", - Napoleon Hill,,
 An obstacle is often a stepping stone, - Prescott,,
" Replace the word ""problem"" with the word ""opportunity"" in all your thoughts", - Matthew Keith Groves,,
 There was never a genius without a tincture of madness, - Aristotle,,
 Winners never quit and quitters never win, - Anon,,
 Never Give Up - Winston Churchill,,,
 Who dares wins, - Winston Churchill,,
 The only difference between a Good Day And a Bad Day Is your attitude - Dennis S Brown,,,
" It is hard to fail, but it is worse never to have tried to succeed", - Theodore Roosevelt,,
 Great spirits have always encountered violent opposition from mediocre minds, - Albert Einstein,,
 He who is not courageous enough to take risks will accomplish nothing in life, - Muhammad Ali,,
 He who wishes to be rich in a day will be hanged in a year, - Leonardo Da Vinci,,
" If you learn only methods, you’ll be tied to your methods, but if you learn principles you can devise your own methods - Ralph Waldo Emerson",,,
" Desire is the starting point of all achievement, not a hope, not a wish, but a keen pulsating desire which transcends everything", - Napoleon Hill,,
 Destiny is not a matter of chance; it is a matter of choice, It is not a thing to be waited for; it is a thing to be achieved, - William Jennings Bryan,
" Don't aim for success if you want it; just do what you love and believe in, and it will come naturally", - David Frost,,
 Life is never free of contradictions, - Dr, Manmohan Singh,
" Tough times never last, but tough people do", - Dr, Robert Schuller,
 To establish true self-esteem we must concentrate on our successes and forget about the failures and the negatives in our lives, - Denis Waitley,,
 Keep your face to the sunshine and you cannot see the shadows, - Helen Keller,,
" The entrepreneur always searches for change, responds to it, and exploits it as an opportunity", - Peter Drucker,,
 What you have to do and the way you have to do it is incredibly simple, Whether you are willing to do it is another matter, - Anonymous,
 Don't be afraid to give your best to what seemingly are small jobs, Every time you conquer one it makes you that much stronger," If you do the little jobs well, the big ones will tend to take care of themselves", - Dale Carnegie
 The ability to concentrate and to use time well is everything, - Lee Iacocca,,
 You don't have to get it perfect – you just have to get it going," Babies don't walk the first time they try, but eventually they do", - Mark Victor Hansen,
 True motivation comes from within - from the willingness to see a dream fulfilled - from the desire to leave the world better than you found it, - Steve Brunkhorst,,
" There isn't a ruler, a yardstick or a measuring tape in the entire world long enough to compute the strength and capabilities inside you", - Paul J, Meyer,
 Genius is eternal patience, - Michaelangelo,,
 Your profession is not what brings home your paycheck, Your profession is what you were put on earth to do, With such passion and such intensity that it becomes spiritual in calling, - Van Gogh
 Creation is always happening," Every time an individual has a thought, or a prolonged way of thinking, they’re in the creation process", Something is going to manifest out of those thoughts, - Michael Bernard Beckwith
 Success is a journey not a destination, The doing is usually more important than the outcome, - Arthur Ashe Jr,
" You may be disappointed if you fail, but you are doomed if you don’t try", - Beverly Sills,,
 Every problem has in it the seeds of its own solution," If you don’t have any problems, you don’t get any seeds", - Norman Vincent Peale,
 Formal education will make you a living, Self education will make you a fortune, - Jim Rohn,
 The tragedy of life doesn’t lie in not reaching your goal, The tragedy lies in having no goals to reach, - Benjamin Mays,
 Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no help at all, - Dale Carnegie,,
 People often say that motivation doesn't last," Well, neither does bathing", That's why we recommend it daily, - Zig Ziglar
" If you can imagine it, you can achieve it; if you can dream it, you can become it", - William Arthur Ward,,
 Go confidently in the direction of your dreams, Live the life you have imagined, - Henry David Thoreau,
 Man is what he believes – Anton Chekov,,,
 Eighty percent of success is showing up, - Woody Allen,,
 Be yourself; everyone else is already taken, - Oscar Wilde,,
 I hear: I forget / I see: I remember / I do: I understand - Chinese Proverb,,,
 Success consists of going from failure to failure without loss of enthusiasm, - Winston Churchill,,
 Experience is what you get when you don't get what you want, - Dan Stanford,,
" There are two primary choices in life: to accept conditions as they exist, or accept the responsibility for changing them", - Dr, Denis Waitley,
 The difference between ordinary and extraordinary is that little extra, - Unknown,,
 The most important single ingredient in the formula for success is the knack of getting along with people, - Theodore Roosevelt,,
 Real leaders are ordinary people with extraordinary determination, - Unknown,,
 Some succeed because they are destined, Some succeed because they are determined, - Unknown,
 Wisdom is knowing, Skill is know how to do it, Virtue is doing it, - David Starr Jordan
 The road to success runs uphill, - Willie Davis,,
" A man only learns in 2 ways, one by reading and the other by association with smarter people", - Will Rogers,,
 Success consists of doing the common things of life uncommonly well, - Unknown,,
 Opportunities multiply as they are seized, - Sun Tzu,,
" For remember, fear doesn't exist anywhere except in the mind", - Dale Carnegie,,
" I can accept failure, everyone fails at something", But I can't accept not trying, - Michael Jordan,
" There is a lesson in almost everything that you do, and getting the lesson is how you move forward", It is how you enrich your spirit, - Oprah Winfrey,
